ID_code,target,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47
train_0,0,8.9255,4,11.9081,5.093,10.756638200249979,-9.2834,5.1187,18.6266,-4.92,5.747,2.9252,-9.059858210729308,14.0137,0.5745,8.7989,14.5691,5.7487,-7.2393,4.284,30.7133,10.535,4,2.5791,2.4716,14.3831,13.4325,-5.1488,4,4.9306,5.9965,-0.3085,12.9041,-3.8766,16.8911,12.178086804061842,1,0.6764,7.8871,4.6667,3.8743,-5.2387,7.3746,11.5767,12.0446,11.6418,-7.017,5.9226,-14.2136
train_1,0,11.5006,2,13.8588,5.389,13.961551324472186,7.0433,5.6208,16.5338,3.1468,8.0851,-0.4032,8.0585,14.0239,8.4135,5.4345,13.7003,13.8275,-15.5849,7.8,28.5708,3.4287,3,8.5524,3.3716,6.9779,13.891,-11.7684,0,5.0464,0.5481,-9.2987,7.8755,1.2859,19.371,11.066084940477175,0,2.7995,5.8434,10.816,3.6783,-11.1147,1.873,9.8775,11.7842,1.2444,-47.3797,7.3718,0.1948
train_2,0,8.6093,1,12.0805,7.8928,9.735233377599606,-9.0837,6.9427,14.6155,-4.9193,5.9525,-0.3249,-5.567692053509067,14.1929,7.3124,7.5244,14.6472,7.6782,-1.7395,4.7011,20.4775,17.7559,4,1.2145,3.5137,5.6777,13.2177,-7.994,0,5.8463,6.1439,-11.1025,12.4858,-2.2871,19.0422,11.295570050889419,3,4.6974,6.9346,10.8917,0.9003,-13.5174,2.2439,11.5283,12.0406,4.1006,-7.9078,11.1405,-5.7864
train_3,0,11.0604,1,8.9522,7.1957,13.580709779361964,-1.8361,5.8428,14.925,-5.8609,8.245,2.3061,2.2290020798845065,13.8463,11.9704,6.4569,14.8372,10.743,-0.4299,15.9426,13.7257,20.301,1,6.8202,2.7229,12.1354,13.7367,0.8135,2,5.907,2.8407,-15.2398,10.4407,-2.5731,6.1796,11.97063468838218,4,8.1723,2.8521,9.1738,0.6665,-3.8294,-1.037,11.777,11.2834,8.0485,-24.684,12.7404,-35.1659
train_4,0,9.8369,1,12.8746,6.6375,11.495781075382444,2.4486,5.9405,19.2514,6.2654,7.6784,-9.4458,-0.6506384014657431,13.8481,7.8895,7.7894,15.0553,8.4871,-3.068,6.5263,11.3152,21.4246,4,10.1102,2.7142,14.208,13.5433,3.1736,3,5.9015,7.9352,-3.1582,9.4668,-0.0083,19.3239,11.47196195001118,0,2.7922,5.8184,19.3038,1.445,-5.5963,14.0685,11.9171,11.5111,6.9087,-65.4863,13.8657,0.0444
train_5,0,11.4763,1,12.608,8.6264,8.821133359326883,3.5609,4.5322,15.2255,3.5855,5.979,0.801,2.819016350887284,13.638,1.2589,8.1939,14.9894,12.0763,-1.471,6.7341,14.8241,19.7172,1,1.0468,3.8663,4.7252,13.9427,-1.2796,3,5.1494,0.4124,-5.0732,4.901,1.5459,15.6423,11.235407184022849,1,1.8685,7.7223,5.5317,2.2308,2.6553,13.973,11.5015,11.6891,14.1062,-44.7257,10.647,-24.6935
train_6,0,11.8091,1,9.3494,4.2916,10.709997382260205,-8.0198,6.1961,12.0771,-4.3781,7.9232,-5.1288,0.898709198643119,14.1629,13.3058,7.8412,14.3363,7.5951,11.0922,21.1976,6.2946,15.8877,2,8.1159,3.9769,7.6851,13.36,-0.5156,4,5.6452,4.614,-12.389,12.088,-1.529,9.2376,11.151,2,4.8462,7.0202,19.9479,-6.2271,4.4616,9.0383,10.6889,10.948,15.0431,1.0776,14.2049,-2.0894
train_7,0,13.558,4,13.8776,7.5985,11.997891245026489,0.831,5.689,22.3262,5.0647,7.1971,1.4532,-5.13890283554546,14.2919,10.9699,6.919,14.2459,9.5376,-0.7226,5.1548,17.1535,13.7326,4,1.2375,3.1711,9.1258,13.325,3.3883,4,5.4501,7.9894,-0.9976,14.5609,-2.0712,16.9717,12.000152119479239,0,2.8303,7.5772,9.0294,1.2659,-12.0219,14.1991,11.2721,11.2407,13.5776,-27.2543,14.0908,0.8217
train_8,0,16.1071,3,13.9307,5.6327,7.874730599668916,6.163,4.4514,10.1854,-3.1882,9.0827,0.9501,-1.1600357877450338,14.0654,-3.0572,11.1642,14.8757,10.0075,-8.9472,3.8349,0.856,10.6958,3,6.558,2.6182,13.2506,13.7929,-14.4918,0,5.9575,2.4882,-11.1344,10.5106,-1.0573,19.329,11.131002080371745,4,6.9208,5.1498,14.7272,3.7692,-5.1399,18.3702,11.6615,11.7713,17.0313,16.4608,15.8764,-31.7855
train_9,0,12.5088,3,8.896,5.4508,12.651125647051206,-16.2859,6.0637,16.841,0.1287,7.9682,0.8787,1.5225406929712983,13.9639,0.8071,9.924,15.2659,11.39,1.5367,5.4649,13.6196,23.7806,3,6.1695,3.2978,4.5923,13.3778,-3.22,0,6.112,-0.0289,-13.1141,9.127,2.258,19.845,11.72963514432793,3,7.2948,5.1347,11.5906,-0.5429,-17.9593,3.847,11.9304,11.9698,3.4963,-39.3042,14.4194,-9.1752
